name,type_label,description,lat,lng,origin,external_id,status
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1968639194,16.2753447319,verified,vienna:2255388,verified
Trinkbrunnen,drinking_fountain,,48.1973114222,16.2742042977,verified,vienna:2255389,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2389025529,16.384256936,verified,vienna:2255390,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1517657902,16.4662453644,verified,vienna:2255391,verified
Trinkbrunnen,drinking_fountain,,48.1651968006,16.4290684336,verified,vienna:2255393,verified
Trinkbrunnen,drinking_fountain,,48.167256177,16.4258006749,verified,vienna:2255394,verified
Trinkbrunnen,drinking_fountain,,48.2342273263,16.3735309251,verified,vienna:2255395,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2400121507,16.3786448935,verified,vienna:2255397,verified
Trinkbrunnen,drinking_fountain,,48.2264605852,16.3693354969,verified,vienna:2255398,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.235580311,16.3676471903,verified,vienna:2255400,verified
Trinkbrunnen,drinking_fountain,,48.1486552847,16.3172686601,verified,vienna:2255401,verified
Trinkbrunnen,drinking_fountain,,48.2319080178,16.3765943163,verified,vienna:2255402,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1321843389,16.4201264092,verified,vienna:2255404,verified
Trinkbrunnen,drinking_fountain,,48.230713754,16.3633089184,verified,vienna:2255406,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1309101979,16.3138545013,verified,vienna:2255407,verified
Trinkbrunnen,drinking_fountain,,48.1512763886,16.2698820823,verified,vienna:2255408,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1481554693,16.2920205749,verified,vienna:2255409,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2127566084,16.3210690918,verified,vienna:2255410,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2337206447,16.2915306123,verified,vienna:2255411,verified
Trinkbrunnen,drinking_fountain,,48.2077341882,16.2447718154,verified,vienna:2255412,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2177838193,16.364424841,verified,vienna:2255413,verified
Trinkbrunnen,drinking_fountain,,48.2067070893,16.3146897296,verified,vienna:2255414,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1678796481,16.3840039705,verified,vienna:2254994,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1748157851,16.3541563029,verified,vienna:2254995,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1745483393,16.3686611976,verified,vienna:2254996,verified
