id,name,type_label,type_num,lat,lng
2255492,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.14799099860188,16.400894856560342
2255493,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.150261822828135,16.399007677250395
2255494,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.1508629100463,16.399008591591734
2255495,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.150620944660965,16.401462049523477
2255496,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.145583681707755,16.406878999744364
2255498,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.18868276739848,16.32609461035144
2255499,Trinkbrunnen,drinking_fountain,4,48.19352535849126,16.337647645850307
2255500,Trinkbrunnen,drinking_fountain,4,48.22031707780411,16.313045374049388
2255501,Trinkbrunnen,drinking_fountain,4,48.21041040605515,16.319241672662304
2255502,Trinkbrunnen,drinking_fountain,4,48.20414973468967,16.31542619209762
2255503,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.214520519964765,16.52611002917211
2255504,Trinkbrunnen,drinking_fountain,4,48.16783178542155,16.287514022508272
2255505,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.15609708203148,16.44161981243166
2255506,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.24160186129387,16.479982210288576
2255507,Trinkbrunnen,drinking_fountain,4,48.19835331593998,16.30597129408828
2255508,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.19129027940202,16.31526090778298
2255509,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.263058997158815,16.392180676705753
2255510,Trinkbrunnen,drinking_fountain,4,48.16336902648914,16.29197041107193
2255511,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.27655287594906,16.40565413516475
2255513,Trinkbrunnen,drinking_fountain,4,48.23598359967388,16.390208048510363
2255514,Trinkbrunnen,drinking_fountain,4,48.213944812280104,16.343982224527327
2255515,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.218941453503554,16.394068171644314
2255517,Trinkbrunnen,drinking_fountain,4,48.2197236184557,16.396193927125182
2255518,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.157404924133225,16.424770790951904
2255520,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.14247848173332,16.390508497197015
2255521,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.21478818683108,16.414640005141408
2255522,Trinkbrunnen,drinking_fountain,4,48.24122493827155,16.309327459542782
2255523,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.257167556224765,16.388464880630284
2255524,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.20067483848918,16.337890145030475
2255525,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.22338752677648,16.3672706060957
2255526,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.22365892387996,16.367533527464563
2255527,Trinkbrunnen,drinking_fountain,4,48.207468022896045,16.351222305650726
2255528,Trinkbrunnen,drinking_fountain,4,48.20752581607172,16.34295619442216
2255529,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.18875437953504,16.31691788670236
2255531,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.18885583998572,16.318876386541252
2255532,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.182373980380106,16.26838061887302
2255533,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.25705447799034,16.339601331213107
2255534,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.228298890344355,16.335829568375452
2255535,Trinkbrunnen,drinking_fountain,4,48.24968561879803,16.34778571525232
2255536,Trinkbrunnen,drinking_fountain,4,48.16599481216551,16.257544281189773
2255537,Trinkbrunnen,drinking_fountain,4,48.187725529964375,16.403326073264754
2255538,Trinkbrunnen,drinking_fountain,4,48.22373728973894,16.34602579730883
2255539,Trinkbrunnen,drinking_fountain,4,48.202449934140894,16.38891782156359
2255540,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.21412584387312,16.30471764677021
2255541,Trinkbrunnen,drinking_fountain,4,48.26261679673407,16.387390998740536
2255542,Trinkbrunnen,drinking_fountain,4,48.212476904578786,16.47554081714647
